Etiquetas de fila,NOMBRE DE PRODUCTO,Semiterminado,Descripción Semi,ABC anterior,Mínimo Producción,Inventario Semiterminado,ABC,MTO/ MTS,Relación latas a cajas, Marzo , Abril , Mayo , Junio , Julio , Agosto , Septiembre , Octubre , Noviembre , Diciembre , Enero , Febrero , Marzo , Abril 
200022,SLICED JAL PEPPERS INGLES12/11 OZ,100016,Bote rajas verdes 380,A," 129,600 "," 919,104 ",A,MTS,24," 2,184 "," 4,651 "," 2,016 "," 2,016 "," 1,848 "," 2,352 "," 1,680 "," 5,079 "," 3,032 "," 3,696 "," 3,696 "," 4,657 "," 2,856 "," 2,016 "
200031,SLICED JAL PEPPERS CALIFORNIA 12/11 OZ,100016,Bote rajas verdes 380,A," 129,600 "," 919,104 ",A,MTO,24," 1,008 ", 593 , 504 , 504 , -   , 336 , 168 , 672 ," 2,016 "," 2,856 "," 1,512 "," 1,367 "," 1,176 "," 1,008 "
200045,RAJA JALAP VDE CLEY 24/380 G,100016,Bote rajas verdes 380,A," 129,600 "," 919,104 ",C,MTS,24," 1,000 ", 996 ," 1,100 "," 1,100 "," 1,100 ", 859 , 812 ," 1,076 "," 1,020 "," 1,211 ", 871 , 800 ," 1,000 ", 996 
200060,RAJAS VERDES OXXO BARA 24/380G,100016,Bote rajas verdes 380,A," 129,600 "," 919,104 ",C,MTS,24, 370 , 449 , 436 , 436 , 750 , 760 , 760 , 760 , 760 , 736 , 759 , 392 , 370 , 449 
200080,SLICED JAL PEPPERS 12/375 ML CNHI,100016,Bote rajas verdes 380,A," 129,600 "," 919,104 ",C,MTO,24, -   , -   , 100 , -   , -   , 100 , -   , -   , 100 , -   , 100 , 100 , -   , -   
200084,RAJAS VERDES JALP GOLDEN HILLS 24/380G,100016,Bote rajas verdes 380,A," 129,600 "," 919,104 ",C,MTO,24, 76 , 73 , 73 , 73 , 73 , 278 , 319 , -   , 71 , 115 , 126 , 65 , 76 , 73 
200107,SLICED JAL PEPPERS12/11 OZ,100016,Bote rajas verdes 380,A," 129,600 "," 919,104 ",C,MTO,24, -   , 164 , -   , -   , -   , -   , -   , 486 , -   , -   , -   , -   , -   , -   
200011,SLICED JAL PEPPERS12/26 OZ,100017,Bote rajas verdes 800,A," 129,600 "," 987,557 ",A,MTS,12," 7,020 "," 5,000 "," 5,040 "," 4,860 "," 4,590 "," 3,330 "," 3,870 "," 9,450 "," 6,840 "," 7,200 "," 2,340 "," 3,690 "," 5,940 "," 7,020 "
200016,SLICED JALAP 12/26OZ CALIFOR 50 CJ P/PAL,100017,Bote rajas verdes 800,A," 129,600 "," 987,557 ",C,MTO,12," 4,050 "," 4,022 "," 4,050 "," 1,450 "," 1,450 "," 1,450 "," 1,450 ", -   , -   , -   , -   ," 3,150 "," 4,050 "," 4,050 "
200024,RAJA JALAPEÑO SM 12/820 G,100017,Bote rajas verdes 800,A," 129,600 "," 987,557 ",B,MTS,12," 3,127 "," 3,362 "," 2,689 "," 3,030 "," 3,410 "," 2,734 "," 4,064 "," 4,065 "," 4,572 "," 4,180 "," 3,258 "," 2,365 "," 3,127 "," 3,362 "
200032,Rajas Verdes Nuestro Campo 12/800g,100017,Bote rajas verdes 800,A," 129,600 "," 987,557 ",A,MTS,12," 3,299 "," 4,800 "," 3,565 "," 3,449 "," 3,450 "," 3,299 "," 16,199 "," 3,299 "," 3,299 "," 3,464 "," 3,464 "," 1,135 "," 3,299 "," 4,800 "
200068,RAJA JALAP VDE CLEY 12/800 G,100017,Bote rajas verdes 800,A," 129,600 "," 987,557 ",C,MTS,12, 200 , 217 , 168 , 240 , 240 , 243 , 177 , 161 , 229 , 221 , 233 , 200 , 200 , 217 
200083,RAJAS VERDES JALP GOLDEN HILLS 12/800G,100017,Bote rajas verdes 800,A," 129,600 "," 987,557 ",C,MTO,12, -   , 55 , 55 , 65 , 65 , 245 , 262 , -   , -   , 62 , 68 , 76 , -   , 55 
200097,SLICED JAL PEPPERS 12/750 ML CN,100017,Bote rajas verdes 800,A," 129,600 "," 987,557 ",C,MTO,12, -   , -   , 100 , -   , -   , -   , -   , -   , -   , -   , -   , 100 , -   , -   
200106,SLICED JAL PEPPERS12/26 OZ,100017,Bote rajas verdes 800,A," 129,600 "," 987,557 ",A,MTO,12, 990 , -   , -   , 184 , 192 , 200 , 184 ," 3,690 "," 3,690 "," 1,710 ", -   , -   , -   , -   
200034,RAJA JALAPEÑO VDE SM 6/2.8 KG,100018,Bote rajas verdes 2800,C," 38,400 "," 100,894 ",B,MTS,6, 875 , 871 ," 1,390 "," 1,687 "," 1,553 "," 1,466 "," 2,547 "," 2,025 "," 2,139 "," 1,741 "," 1,655 "," 1,030 ", 875 , 871 
200042,SLICED JAL PEPPERS CALIFORNIA 6/6LB4 OZ,100018,Bote rajas verdes 2800,C," 38,400 "," 100,894 ",B,MTO,6, 912 , -   , -   , 768 , 672 , 672 , 816 , 624 ," 1,440 ", 96 , 912 , 672 , 912 , 912 
200049,SLICED JAL PEPPERS 6/6LB4 OZ,100018,Bote rajas verdes 2800,C," 38,400 "," 100,894 ",B,MTO,6, 624 , 865 , 576 , 576 , 768 , 576 , 720 , 768 , 768 , 720 , 576 , 525 , 672 , 432 
200099,SLICED JALAPEÑO PEPPERS 6/3 LT CNEM,100018,Bote rajas verdes 2800,C," 38,400 "," 100,894 ",C,MTO,6, -   , -   , 100 , -   , -   , -   , -   , -   , -   , -   , -   , 100 , -   , -   
200023,SLICED JALAP PEPPERS LUISIANA 12/12 OZ,100019,Frasco rodajas 12 oz lit,B," 33,600 "," 74,716 ",A,MTS,12," 2,448 "," 2,448 "," 2,448 "," 2,448 "," 2,448 "," 2,448 "," 2,448 ", -   , -   ," 2,592 "," 2,592 "," 2,448 "," 2,448 "," 2,016 "
200006,SLICED JALAP PEPPERS WM 12/12OZ,100021,Frasco rodajas 12 oz TD,B," 33,600 "," 699,419 ",A,MTS,12," 12,528 "," 12,240 "," 15,120 "," 15,120 "," 15,120 "," 15,120 "," 15,120 "," 12,096 "," 11,952 "," 11,952 "," 7,632 "," 10,000 "," 10,080 "," 15,120 "
200033,NACHO JALAP PEPPERS 6/6LB 1 OZ CHBH,100023,Bote rodajas 2800,A," 38,400 "," 63,394 ",C,MTO,6," 1,120 ", -   , -   , -   , -   ," 1,120 ", -   , -   , -   ," 1,120 ", -   , -   ," 1,120 ", -   
200035,NACHO JALAP PEPPERS CALIFORNIA 6/6LB 1OZ,100023,Bote rodajas 2800,A," 38,400 "," 63,394 ",B,MTO,6, 816 , 384 , 384 , 480 , 384 , 480 , 480 , 528 , 768 , 384 , 720 , 240 ," 1,008 ", 816 
200036,NACHO JALAP PEPPERS 6/6LB 1 OZ TWYS,100023,Bote rodajas 2800,A," 38,400 "," 63,394 ",B,MTO,6," 1,000 ", -   ," 1,000 ", -   ," 1,000 ", -   ," 1,000 ", -   ," 1,000 ", -   , -   , -   ," 1,000 ", -   
200037,NACHO JALAP PEPPERS 6/6LB1 OZ OUSA CHSM,100023,Bote rodajas 2800,A," 38,400 "," 63,394 ",C,MTO,6," 1,000 ", -   ," 1,000 "," 1,000 "," 1,000 ", -   , -   ," 2,000 ", -   , -   ," 1,000 ", -   ," 1,000 ", -   
200038,RODAJAS JALAP NACHOS 6/2800 G FIKP,100023,Bote rodajas 2800,A," 38,400 "," 63,394 ",C,MTO,6," 2,000 ", -   ," 1,000 "," 1,000 ", -   ," 1,000 ", -   ," 1,000 ", -   ," 1,000 "," 1,000 ", -   ," 2,000 ", -   
200041,NACHO JALAP PEPPERS 6/6LB 1 OZ,100023,Bote rodajas 2800,A," 38,400 "," 63,394 ",B,MTO,6," 1,056 "," 1,440 "," 1,440 ", 864 , 912 , 864 , 912 , 816 ," 1,008 ", 912 ," 1,056 ", 960 , 912 ," 1,056 "
200061,RODAJAS DE JALAPEÑO 6/2800 G ESRI,100023,Bote rodajas 2800,A," 38,400 "," 63,394 ",C,MTO,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
200067,RODAJA JALAP NACH SM 6/2.8 KG ESVE,100023,Bote rodajas 2800,A," 38,400 "," 63,394 ",C,MTO,6, -   , -   , -   , 392 , -   , 219 , 121 , -   , -   , -   , -   , -   , -   , -   
200090,NACHO JALAP PEPPERS 6/6LB 1 OZ ISEW,100023,Bote rodajas 2800,A," 38,400 "," 63,394 ",C,MTO,6, -   , 500 , -   , 491 , -   , -   , 491 , 491 , -   , -   , 491 , 463 , -   , 500 
200091,NACHO SLICED JALAPEÑO 6/2.8 KG UKGF,100023,Bote rodajas 2800,A," 38,400 "," 63,394 ",C,MTO,6, -   , 336 , -   , -   , -   , 784 , -   , -   , 784 , -   , -   , 336 , -   , 336 
